﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
C0X320, 2025060206,     25.7
C0X320, 2025060207,     26.2
C0X320, 2025060208,     27.4
C0X320, 2025060209,     26.2
C0X320, 2025060210,     27.2
C0X320, 2025060211,     25.7
C0X320, 2025060212,     26.2
C0X320, 2025060213,     25.9
C0X320, 2025060214,     26.6
C0X320, 2025060215,     27.4
C0X320, 2025060216,     27.7
C0X320, 2025060217,     27.9
C0X320, 2025060218,     27.7
C0X320, 2025060219,     27.1
C0X320, 2025060220,     27.1
C0X320, 2025060221,     26.1
C0X320, 2025060222,     26.1
C0X320, 2025060223,     26.2
C0X320, 2025060224,     26.0
C0X320, 2025060301,     25.5
C0X320, 2025060302,     25.5
C0X320, 2025060303,     25.4
C0X320, 2025060304,     25.2
C0X320, 2025060305,     25.1
C0X320, 2025060306,     25.1
C0X320, 2025060307,     25.4
C0X320, 2025060308,     26.9
C0X320, 2025060309,     27.4
C0X320, 2025060310,     27.9
C0X320, 2025060311,     28.1
C0X320, 2025060312,     28.6
C0X320, 2025060313,     28.9
C0X320, 2025060314,     27.0
C0X320, 2025060315,     28.2
C0X320, 2025060316,     27.9
C0X320, 2025060317,     26.4
C0X320, 2025060318,     25.8
C0X320, 2025060319,     25.9
C0X320, 2025060320,     26.1
C0X320, 2025060321,     25.8
C0X320, 2025060322,     25.7
C0X320, 2025060323,     25.3
C0X320, 2025060324,     25.3
C0X320, 2025060401,     25.4
C0X320, 2025060402,     25.5
C0X320, 2025060403,     25.5
C0X320, 2025060404,     25.4
C0X320, 2025060405,     25.2
C0X320, 2025060406,     25.5
C0X320, 2025060407,     26.0
C0X320, 2025060408,     28.2
C0X320, 2025060409,     27.7
C0X320, 2025060410,     27.7
C0X320, 2025060411,     27.4
C0X320, 2025060412,     26.3
C0X320, 2025060413,     26.5
C0X320, 2025060414,     25.5
C0X320, 2025060415,     25.7
C0X320, 2025060416,     25.9
C0X320, 2025060417,     25.6
C0X320, 2025060418,     25.7
C0X320, 2025060419,     25.4
C0X320, 2025060420,     25.5
C0X320, 2025060421,     25.5
C0X320, 2025060422,     25.6
C0X320, 2025060423,     25.4
C0X320, 2025060424,     25.4
C0X320, 2025060501,     25.1
C0X320, 2025060502,     25.0
C0X320, 2025060503,     25.1
C0X320, 2025060504,     25.1
C0X320, 2025060505,     25.0
C0X320, 2025060506,     25.1
C0X320, 2025060507,     26.6
C0X320, 2025060508,     27.3
C0X320, 2025060509,     29.6
C0X320, 2025060510,     31.3
C0X320, 2025060511,     30.0
C0X320, 2025060512,     27.1
C0X320, 2025060513,     27.0
C0X320, 2025060514,     27.6
C0X320, 2025060515,     25.9
C0X320, 2025060516,     28.2
C0X320, 2025060517,     27.4
C0X320, 2025060518,     26.6
C0X320, 2025060519,     26.9
C0X320, 2025060520,     26.0
C0X320, 2025060521,     25.7
C0X320, 2025060522,     25.7
C0X320, 2025060523,     25.4
C0X320, 2025060524,     25.4
C0X320, 2025060601,     25.2
C0X320, 2025060602,     24.9
C0X320, 2025060603,     24.9
C0X320, 2025060604,     24.8
C0X320, 2025060605,     24.8
C0X320, 2025060606,     25.4
C0X320, 2025060607,     29.0
C0X320, 2025060608,     30.7
C0X320, 2025060609,     None
C0X320, 2025060610,     31.5
C0X320, 2025060611,     31.5
C0X320, 2025060612,     31.0
C0X320, 2025060613,     29.6
C0X320, 2025060614,     29.8
C0X320, 2025060615,     27.8
C0X320, 2025060616,     26.7
C0X320, 2025060617,     28.1
C0X320, 2025060618,     28.4
C0X320, 2025060619,     27.6
C0X320, 2025060620,     27.1
C0X320, 2025060621,     27.0
C0X320, 2025060622,     26.6
C0X320, 2025060623,     26.4
C0X320, 2025060624,     26.5
C0X320, 2025060701,     26.0
C0X320, 2025060702,     25.6
C0X320, 2025060703,     25.9
C0X320, 2025060704,     26.2
C0X320, 2025060705,     26.5
C0X320, 2025060706,     26.4
C0X320, 2025060707,     27.6
C0X320, 2025060708,     29.3
C0X320, 2025060709,     30.3
C0X320, 2025060710,     30.8
C0X320, 2025060711,     31.4
C0X320, 2025060712,     32.6
C0X320, 2025060713,     33.8
C0X320, 2025060714,     33.6
C0X320, 2025060715,     None
C0X320, 2025060716,     None
C0X320, 2025060717,     32.2
C0X320, 2025060718,     31.5
C0X320, 2025060719,     29.8
C0X320, 2025060720,     28.2
C0X320, 2025060721,     26.7
C0X320, 2025060722,     26.5
C0X320, 2025060723,     27.0
C0X320, 2025060724,     26.4
C0X320, 2025060801,     26.2
C0X320, 2025060802,     26.1
C0X320, 2025060803,     26.0
C0X320, 2025060804,     25.6
C0X320, 2025060805,     25.3
C0X320, 2025060806,     26.0
C0X320, 2025060807,     29.6
C0X320, 2025060808,     30.6
C0X320, 2025060809,     31.8
C0X320, 2025060810,     32.5
C0X320, 2025060811,     33.2
C0X320, 2025060812,     32.7
C0X320, 2025060813,     33.1
C0X320, 2025060814,     34.0
C0X320, 2025060815,     32.3
C0X320, 2025060816,     32.4
C0X320, 2025060817,     32.1
C0X320, 2025060818,     30.2
C0X320, 2025060819,     29.4
C0X320, 2025060820,     29.1
